Day,Suspected,Infected,Recovered,Death
1,299999999,1,0,0
2,299999997,1,0,0
3,299999995,3,0,0
4,299999992,6,0,0
5,299999984,13,1,0
6,299999970,24,3,0
7,299999944,47,7,0
8,299999894,90,13,1
9,299999798,172,26,2
10,299999615,328,51,5
11,299999268,624,97,9
12,299998607,1188,185,18
13,299997349,2262,353,35
14,299994953,4306,672,67
15,299990394,8196,1280,128
16,299981717,15601,2437,243
17,299965201,29694,4639,463
18,299933769,56515,8831,883
19,299873960,107550,16808,1680
20,299760185,204627,31987,3198
21,299543877,389173,60862,6086
22,299133078,739588,115756,11575
23,298354506,1403490,220002,22000
24,296884614,2656073,417556,41755
25,294129744,5000749,790459,79045
26,289036467,9325429,1489184,148918
27,279852614,17088532,2780775,278077
28,264014918,30362899,5111074,511107
29,238685229,51254750,9145472,914547
30,202649449,80089137,15692193,1569219
31,158982585,113077951,25399512,2539951
32,115081508,142760251,38325672,3832567
33,78199170,162641798,53780937,5378093
34,51292102,170993086,70649828,7064982
35,33356115,169996065,87861653,8786165
36,21926767,162965962,104642972,10464297
37,14738077,152674610,120533919,12053391
38,10186944,140975332,135307020,13530702
39,7255397,128974982,148881472,14888147
40,5324158,117288618,161261112,16126111
41,4020465,106234599,172495395,17249539
42,3118566,95959440,182656356,18265635
43,2479724,86512334,191825400,19182540
44,2017048,77888469,200085893,20008589
45,1674986,70054002,207519101,20751910
46,1417267,62960464,214202061,21420206
47,1219716,56553060,220206566,22020656
48,1065892,50775438,225598789,22559878
49,944405,45572390,230439276,23043927
50,847218,40891321,234783144,23478314
51,768567,36683006,238680387,23868038
52,704249,32901899,242176228,24217622
53,651156,29506191,245311501,24531150
54,606959,26457719,248123019,24812301
55,569887,23721788,250643931,25064393
56,538580,21266950,252904063,25290406
57,511978,19064765,254930232,25493023
58,489250,17089559,256746536,25674653
59,469736,15318182,258374618,25837461
60,452908,13729787,259833912,25983391
61,438338,12305614,261141861,26114186
62,425678,11028791,262314117,26231411
63,414643,9884157,263364726,26336472
64,404997,8858090,264306283,26430628
65,396543,7938358,265150089,26515008
66,389117,7113979,265906275,26590627
67,382580,6375099,266583927,26658392
68,376816,5712872,267191191,26719119
69,371724,5119366,267735371,26773537
70,367220,4587464,268223013,26822301
71,363230,4110782,268659987,26865998
72,359692,3683598,269051554,26905155
73,356550,3300778,269402428,26940242
74,353759,2957720,269716836,26971683
75,351276,2650300,269998566,26999856
76,349066,2374819,270251013,27025101
77,347098,2127961,270477219,27047721
78,345343,1906754,270679910,27067991
79,343779,1708535,270861531,27086153
80,342383,1530917,271024272,27102427
81,341137,1371759,271170093,27117009
82,340024,1229144,271300755,27130075
83,339031,1101353,271417832,27141783
84,338143,986846,271522736,27152273
85,337349,884242,271616734,27161673
86,336639,792304,271700959,27170095
87,336005,709925,271776426,27177642
88,335437,636110,271844047,27184404
89,334930,569969,271904637,27190463
90,334475,510704,271958926,27195892
91,334069,457602,272007571,27200757
92,333705,410020,272051158,27205115
93,333379,367386,272090212,27209021
94,333088,329184,272125206,27212520
95,332827,294955,272156561,27215656
96,332593,264285,272184655,27218465
97,332384,236803,272209828,27220982
98,332196,212180,272232384,27223238
99,332029,190116,272252594,27225259
100,331878,170347,272270703,27227070
101,331744,152634,272286928,27228692
102,331623,136762,272301467,27230146
103,331515,122541,272314493,27231449
104,331419,109798,272326165,27232616
105,331332,98381,272336624,27233662
106,331254,88150,272345994,27234599
107,331185,78984,272354391,27235439
108,331122,70771,272361914,27236191
109,331067,63411,272368655,27236865
110,331017,56817,272374695,27237469
111,330972,50909,272380107,27238010
112,330932,45615,272384956,27238495
113,330896,40872,272389301,27238930
114,330864,36622,272393194,27239319
115,330835,32813,272396682,27239668
116,330809,29401,272399808,27239980
117,330786,26344,272402608,27240260
118,330765,23604,272405117,27240511
119,330746,21150,272407366,27240736
120,330730,18950,272409380,27240938
121,330715,16980,272411185,27241118
122,330701,15214,272412803,27241280
123,330690,13632,272414252,27241425
124,330679,12214,272415550,27241555
125,330669,10944,272416714,27241671
126,330661,9806,272417756,27241775
127,330653,8786,272418690,27241869
128,330646,7873,272419527,27241952
129,330640,7054,272420277,27242027
130,330634,6320,272420949,27242094
131,330629,5663,272421551,27242155
132,330625,5074,272422091,27242209
133,330621,4546,272422574,27242257
134,330617,4074,272423007,27242300
135,330614,3650,272423395,27242339
136,330611,3270,272423743,27242374
137,330608,2930,272424054,27242405
138,330606,2625,272424333,27242433
139,330604,2352,272424584,27242458
140,330602,2108,272424808,27242480
141,330601,1888,272425009,27242500
142,330599,1692,272425188,27242518
143,330598,1516,272425350,27242535
144,330597,1358,272425494,27242549
145,330596,1217,272425624,27242562
146,330595,1090,272425740,27242574
147,330594,977,272425843,27242584
148,330593,875,272425937,27242593
149,330592,784,272426020,27242602
150,330592,703,272426095,27242609
151,330591,630,272426162,27242616
152,330591,564,272426222,27242622
153,330590,505,272426275,27242627
154,330590,453,272426324,27242632
155,330589,406,272426367,27242636
156,330589,363,272426405,27242640
157,330589,326,272426440,27242644
158,330589,292,272426471,27242647
159,330588,261,272426499,27242649
160,330588,234,272426524,27242652
161,330588,210,272426546,27242654
162,330588,188,272426566,27242656
163,330588,168,272426584,27242658
164,330587,151,272426600,27242660
165,330587,135,272426615,27242661
166,330587,121,272426628,27242662
167,330587,108,272426639,27242663
168,330587,97,272426650,27242665
169,330587,87,272426659,27242665
170,330587,78,272426667,27242666
171,330587,70,272426675,27242667
172,330587,62,272426681,27242668
173,330587,56,272426687,27242668
174,330587,50,272426693,27242669
175,330587,45,272426697,27242669
