,Starting_Days,Methods,Beta,Gamma,Mae,Succes
0,20,leastsq,2.8689658540294616,1.8420373587059458,29497495.6435525,true
1,25,leastsq,3.5965480332038826,1.9999988644819635,29503287.715329062,true
2,30,leastsq,3.608166711595783,1.9999988775366493,29477470.223905645,true
3,35,leastsq,0.7410796966361116,0.10037302858039299,13474442.171246953,true
4,40,leastsq,0.7350558112633387,0.09375132822661614,13169674.570010075,true
5,45,leastsq,0.7329863364198108,0.09051856698099214,13099700.396490255,true
6,20,least_squares,2.8689477285443123,1.8420204749776479,29497494.82330673,true
7,25,least_squares,1.9523399836965385,1.1246263857350765,28983434.975277428,true
8,30,least_squares,1.0210875863664979,0.3531128469267255,25441046.053513065,true
9,35,least_squares,0.7410809411439018,0.1003736717692455,13474464.311236033,true
10,40,least_squares,0.7350559115679697,0.09375132882904454,13169670.087179597,true
11,45,least_squares,0.7329870272264127,0.09051845927977671,13099655.945204388,true
