Day,Suspected,Infected,Recovered
1,299999998,1,0
2,299999998,1,0
3,299999997,2,0
4,299999996,3,0
5,299999993,5,0
6,299999990,7,1
7,299999986,11,2
8,299999979,16,3
9,299999968,25,5
10,299999952,38,8
11,299999928,57,13
12,299999895,84,20
13,299999843,126,30
14,299999761,194,44
15,299999648,283,68
16,299999477,422,100
17,299999213,631,154
18,299998829,961,209
19,299998249,1414,335
20,299997374,2104,521
21,299996044,3226,728
22,299994043,4825,1131
23,299991205,7120,1674
24,299986837,10762,2400
25,299980345,16146,3508
26,299970783,23434,5781
27,299956035,35335,8628
28,299934747,52373,12879
29,299901662,80162,18174
30,299854001,117081,28917
31,299778397,178934,42668
32,299672059,266042,61898
33,299504266,401404,94328
34,299272814,582717,144468
35,298899497,888492,212010
36,298356349,1322064,321585
37,297544592,1975607,479800
38,296338509,2952038,709452
39,294655371,4284389,1060238
40,292093539,6304825,1601635
41,288186309,9585552,2228138
42,282695423,14065234,3239341
43,274979157,19900923,5119918
44,264221057,28264049,7514892
45,250197996,39515078,10286924
46,231563722,53103692,15332585
47,209527171,69691271,20781556
48,182430904,89210987,28358108
49,153845174,108293846,37860978
50,129910591,119885304,50204104
51,103911214,134133790,61954994
52,78736776,145201258,76061965
53,65641018,146118391,88240589
54,51697696,143509188,104793114
55,39194560,143133825,117671613
56,32142298,136720063,131137638
57,25248202,128427731,146324066
58,20953877,123563765,155482357
59,17486425,114829814,167683760
60,14584976,104130996,181284027
61,11066001,97753519,191180478
62,9485349,90870625,199644025
63,8987956,82101173,208910869
64,7495756,77510860,214993382
65,6531236,69099951,224368812
66,4584804,64811721,230603474
67,4812481,58243560,236943957
68,5243810,52311997,242444192
69,4692332,47942854,247364813
70,3446576,44620307,251933116
71,3607223,41010998,255381778
72,3923356,36027397,260049246
73,3700017,33406787,262893194
74,3489678,30413583,266096737
75,2997893,27938627,269063479
76,3046353,25250559,271703086
77,2934324,22813117,274252557
78,2942970,20552460,276504568
79,2719517,18721539,278558942
80,2605014,17120546,280274439
81,2227823,15791526,281980650
82,2551642,14179574,283268782
83,2236307,13059440,284704252
84,2487964,11699916,285812118
85,2387680,10723326,286888992
86,2357275,9650332,287992392
87,2318218,8770882,288910898
88,2151225,8037170,289811603
89,2353999,7195518,290450481
90,2326259,6442969,291230770
91,2251506,5968111,291780382
92,2280599,5354451,292364948
93,2269938,4831287,292898773
94,2213655,4512159,293274184
95,2207118,4027024,293765856
96,2201169,3620573,294178256
97,2135201,3357872,294506926
98,2162457,3019964,294817577
99,2184953,2760638,295054408
100,2170919,2451827,295377252
101,2158559,2235727,295605713
102,2129151,2056268,295814579
103,2110489,1896306,295993203
104,2147363,1677193,296175443
105,2114469,1539372,296346157
106,2142149,1366509,296491341
107,2137933,1238971,296623095
108,2122039,1141100,296736859
109,2130045,1020303,296849651
110,2116339,942097,296941562
111,2100348,867976,297031674
112,2120656,763582,297115761
113,2117908,705057,297177033
114,2115782,634607,297249610
115,2112928,570423,297316648
116,2111096,523729,297365173
117,2109370,471510,297419119
118,2097780,437505,297464713
119,2105806,395326,297498866
120,2105044,353815,297541140
121,2104512,318330,297577157
122,2102135,293116,297604748
123,2096748,268012,297635238
124,2100168,243062,297656769
125,2100659,223883,297675457
126,2100064,198257,297701677
127,2099033,180843,297720123
128,2098399,166875,297734725
129,2097699,150893,297751406
130,2094477,137116,297768406
131,2095792,122578,297781629
132,2094806,112451,297792741
133,2096483,102894,297800622
134,2095565,90996,297813437
135,2095653,82303,297822042
136,2094751,76518,297828729
137,2095468,67511,297837019
138,2095143,61739,297843117
139,2094645,56304,297849049
140,2094890,51243,297853866
141,2094046,46739,297859213
142,2094480,41712,297863807
143,2094303,38121,297867574
144,2094357,35135,297870506
145,2093957,31518,297874524
146,2094153,28119,297877726
147,2093742,26472,297879785
148,2093917,23763,297882319
149,2093777,21239,297884983
150,2093410,19785,297886803
151,2093756,17322,297888921
152,2093405,16130,297890464
153,2093559,14606,297891833
154,2093388,13217,297893393
155,2093335,12150,297894514
156,2093466,10737,297895796
157,2093467,9693,297896839
158,2093373,8914,297897712
159,2093252,8242,297898504
160,2093402,7360,297899236
161,2093381,6807,297899811
162,2093227,6094,297900678
163,2093332,5405,297901261
164,2093296,5018,297901684
165,2093290,4592,297902116
166,2093246,4175,297902578
167,2093246,3739,297903013
168,2093207,3432,297903359
169,2093227,3107,297903665
170,2093171,2810,297904018
171,2093177,2576,297904245
172,2093215,2301,297904482
173,2093219,2045,297904735
174,2093187,1925,297904887
175,2093183,1714,297905101
